Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,322.95,323.48,321.31,322.56,6911000,322.56
2010-12-30,325.48,325.51,323.05,323.66,5624800,323.66
2010-12-29,326.22,326.45,325.10,325.29,5826400,325.29
2010-12-28,325.91,326.66,325.06,325.47,6283000,325.47
2010-12-27,322.85,325.44,321.52,324.68,8922000,324.68
2010-12-23,325.00,325.15,323.17,323.60,7969900,323.60
2010-12-22,324.36,325.72,323.55,325.16,9497200,325.16
2010-12-21,323.00,324.39,322.05,324.20,9155500,324.20
2010-12-20,321.60,323.25,318.23,322.21,13771800,322.21
2010-12-17,321.63,321.79,320.23,320.61,13818900,320.61
2010-12-16,321.09,322.61,320.10,321.25,11501100,321.25
2010-12-15,320.00,323.00,319.19,320.36,14904000,320.36
2010-12-14,321.73,322.54,319.00,320.29,12536000,320.29
2010-12-13,324.37,325.06,321.00,321.67,15707700,321.67
2010-12-10,319.65,321.05,318.60,320.56,9375400,320.56
2010-12-09,322.13,322.50,319.02,319.76,10505400,319.76
2010-12-08,319.63,321.02,317.11,321.01,11497700,321.01
2010-12-07,323.80,323.99,318.12,318.21,13980500,318.21
2010-12-06,318.64,322.33,318.42,320.15,16017200,320.15
2010-12-03,317.01,318.65,316.34,317.44,12217600,317.44
2010-12-02,317.53,319.00,314.89,318.15,16529900,318.15
2010-12-01,315.27,317.75,315.00,316.40,16491100,316.40
2010-11-30,313.54,314.36,310.87,311.15,17923500,311.15
2010-11-29,315.50,317.48,311.38,316.87,15920900,316.87
2010-11-26,313.74,317.70,312.94,315.00,8485200,315.00
2010-11-24,312.00,315.40,311.75,314.80,14775900,314.80
2010-11-23,310.45,311.75,306.56,308.73,18551700,308.73
2010-11-22,306.68,313.36,305.87,313.36,14038400,313.36
2010-11-19,307.97,308.40,305.24,306.73,13744400,306.73
2010-11-18,305.20,309.67,304.69,308.43,17660400,308.43
2010-11-17,301.20,303.99,297.76,300.50,17123200,300.50
2010-11-16,305.72,307.60,299.32,301.59,23487500,301.59
2010-11-15,308.46,310.54,306.27,307.04,14414500,307.04
2010-11-12,316.00,316.50,303.63,308.03,28423100,308.03
2010-11-11,315.00,318.40,314.25,316.65,12903000,316.65
2010-11-10,316.64,318.77,313.55,318.03,13722400,318.03
2010-11-09,321.05,321.30,314.50,316.08,13698000,316.08
2010-11-08,317.20,319.77,316.76,318.62,10062800,318.62
2010-11-05,317.99,319.57,316.75,317.13,12901900,317.13
2010-11-04,315.45,320.18,315.03,318.27,22946000,318.27
2010-11-03,311.37,312.88,308.53,312.80,18155300,312.80
2010-11-02,307.00,310.19,307.00,309.36,15497500,309.36
2010-11-01,302.22,305.60,302.20,304.18,15138900,304.18
2010-10-29,304.23,305.88,300.87,300.98,15375400,300.98
2010-10-28,307.95,308.00,300.90,305.24,19680400,305.24
